# particle_number, x, y, function_value
5,  2.37284492e-03, -3.70837165e+00, -5.673113250130498
6, -2.77736783,  0.8065603 , -18.50697845391207
7,  0.79006691, -3.45872694, -3.595688951113813
8,  3.69304559, -2.95468415, -2.186796757317726
9, 2.16575291, 1.61281602, -7.144737273026564
10, -0.81985303, -2.90403515, -6.933693898002337
11, 3.85541895, 2.97499048, -13.720284910123244
12, 1.23009118, 1.49056863, -7.473250554709981
13, -2.46604387,  2.26272948, -21.913892747148424
14, 0.89938582, 2.10502626, -10.22003907046704
15, -5.4223573, -2.9883503, -32.893064351980584
16,  1.83028237, -3.25797007, -2.0652407455340938
17,  4.61755408, -2.47814052, -3.3280794016332154
18, 3.47383053, 0.50931649, -4.2955144559377905
19, 2.50223997, 0.24796375, -3.2258151774644612
20,  1.74878393, -0.04149616, -2.928119591720099
21,  1.19061261, -1.63725294, -1.8107042135782256
22, -0.52981931,  5.47230211, -32.68426026858353
23, 3.24480342, 3.2074146 , -14.239146545554604
24,  0.59770473, -0.99800264, -3.1351017956959106
25,  1.88800274, -5.82014501, -8.789977290018827
26,  2.66392341, -0.97100901, -1.3638861087003493
27,  1.00923743, -2.88277859, -2.5130519339591846
28,  0.00050727, -0.3176798 , -5.2945391028779945
29,  2.37154718, -6.53545607, -11.67091507340619
30, 0.20462916, 0.92312071, -7.538307459965612
31, 1.41067358, 0.64175301, -4.742508742071459
32,  1.34969884, -5.46507224, -7.935404964410326
33, -5.58313759,  1.31861766, -38.76724500683952
34,  2.62677242, -1.14184226, -1.2143757325691218
35, -0.99703129, -1.31949688, -7.202044397533433
36, -1.62838024,  1.58886478, -15.526788963560257
37, -0.80142065, -3.85096043, -8.271750990782788
38,  4.33245436, -3.04810067, -3.25695059770192
39,  1.41468956, -3.27584491, -2.454362514188871
40,  0.79122007, -4.74085737, -6.414138254613233
41, -1.08968058, -2.77467751, -7.7443722414932346
42,  0.94348578, -0.75546666, -2.7852850673452583
43,  5.13596979, -4.92175514, -8.958608964096353
44,  4.51973415, -0.87017012, -3.488876343966251
45,  1.81105447, -3.99809625, -3.3572654412811067
46, -2.42972432, -1.46286907, -13.165571206029735
47, 1.94514145, 0.79581513, -4.706582135625624
48,  1.41739325, -0.06375952, -3.1908467807373992
49,  3.05341153, -2.71161344, -1.4014288821334044
50,  2.20072785, -2.1513198 , -0.9953012631619208
