swarm_number,particle_number,x,y,function_value
3,9, 2.50020546,-1.90237915,-0.9189413844893779
4,0, 2.51314614,-1.87467313,-0.9193456689810464
4,1, 2.52008718,-1.87732953,-0.919397255560465
4,2, 2.52286163,-1.87532467,-0.9195042960641437
4,3, 2.52239939,-1.87454153,-0.9195134665069432
4,4, 2.51924118,-1.87710905,-0.9193856424351489
4,5, 2.52234569,-1.87486992,-0.9195039586038543
4,6, 2.52191931,-1.88262647,-0.9193296809329851
4,7, 2.52121461,-1.87497999,-0.9194765634306769
4,8, 2.52221341,-1.87513091,-0.9194944867757631
4,9, 2.52335344,-1.87653679,-0.9194864859306042
0,0, 2.46074512,-1.89632348,-0.919715764230289
0,1, 2.46074512,-1.89632348,-0.919715764230289
0,2, 2.46074512,-1.89632348,-0.919715764230289
0,3, 2.46074512,-1.89632348,-0.919715764230289
0,4, 2.46074512,-1.89632348,-0.919715764230289
0,5, 2.46074512,-1.89632348,-0.919715764230289
0,6, 2.46074512,-1.89632348,-0.919715764230289
0,7, 2.46074512,-1.89632348,-0.919715764230289
0,8, 2.46074512,-1.89632348,-0.919715764230289
0,9, 2.46074512,-1.89632348,-0.919715764230289
1,0, 2.50837542,-1.896105  ,-0.9189811925184093
1,1, 2.50635308,-1.89334433,-0.9189808629868409
1,2, 2.50913542,-1.89438068,-0.9189960495129258
1,3, 2.50610904,-1.89520974,-0.9189686666706838
1,4, 2.50405746,-1.89463997,-0.9189611296340245
1,5, 2.50912117,-1.89408043,-0.9189976517208127
1,6, 2.50840577,-1.89315978,-0.9189972560280664
1,7, 2.50823735,-1.89350281,-0.9189935669024165
1,8, 2.50665538,-1.89655852,-0.9189666021173902
1,9, 2.50898747,-1.89377362,-0.9189983044779009
2,0, 2.50350047,-1.89594669,-0.9189528744890287
2,1, 2.50384466,-1.89607301,-0.9189536345224065
2,2, 2.5038487 ,-1.89606751,-0.9189536717175674
2,3, 2.50402387,-1.89664347,-0.918952262127183
2,4, 2.5040306 ,-1.89630633,-0.9189534777000815
2,5, 2.50199041,-1.89588368,-0.9189489861110217
2,6, 2.5036374 ,-1.89592485,-0.9189534519661957
2,7, 2.50396993,-1.89623993,-0.9189534824471864
2,8, 2.50384721,-1.89607419,-0.9189536397046995
