# particle_number, x, y, function_value
42,  0.30004018, -2.2248612 , -3.391617537774423
43, 1.54920325, 2.97539597, -13.255688673083077
44, -3.45449216, -1.54012306, -18.71168267015487
45,  0.84740086, -2.88375542, -2.768367852822071
46, 5.22306478, 1.46619438, -10.292111746716445
47,  2.36768015, -2.46922254, -1.0896999574399702
48, 2.89461675, 1.13184943, -5.592855201026557
49,  2.33560716, -0.35395275, -2.1275820912403587
50, -1.11998969, -3.34722335, -8.518328903333478
51,  3.56797133, -1.74967062, -1.5005193812689068
52, -0.58283237,  2.59741349, -15.784230283979168
53,  2.96482539, -3.98809839, -3.2070472913307273
54,  3.67313085, -3.80009786, -3.4122424621658887
55,  1.15165481, -1.08129122, -2.163097939922431
56, 0.28381004, 0.64612552, -6.616065087632549
57,  0.55058045, -5.16199003, -8.13934631833199
58,  0.86059415, -4.99295378, -7.045945836189929
59,  0.81128698, -1.7111102 , -2.3626540444713093
60, 2.20312492, 1.43360138, -6.519455007545657
61, 1.46943875, 2.00895488, -9.089930889848224
62,  1.2633165 , -4.55766858, -5.215232710745282
63, 0.61535726, 0.97752135, -6.834942224838185
64,  0.87514555, -5.65432808, -9.286504190170312
65,  2.55378294, -0.20189708, -2.3621616066106017
66, -3.29897085, -5.66225488, -24.81025090988702
67, 2.46687954, 1.35722671, -6.224249923926488
68, 1.15688196, 1.50883402, -7.630996235118355
69, -0.23204317, -0.19949099, -6.096833909793395
70, 4.88954172, 0.91992496, -7.749881729089854
71, -0.32493256, -2.33191697, -5.002336641661486
72,  4.3323922 , -0.67223209, -3.3514761427450104
73, -1.79322853,  1.05918329, -14.513226999531696
74, 1.32917145, 1.06715295, -6.006356575742563
75,  1.48339543, -1.96772194, -1.437974089278029
76,  2.57561833, -2.46492774, -1.0813692724748876
77,  5.04970408, -1.83546044, -4.171516648540935
78, -3.81011342, -0.45898317, -21.865968964881986
79, -0.62321188, -0.78203567, -6.421086869023053
80,  3.81313999, -2.88192312, -2.2631933552078736
81,  4.31295429, -1.57253635, -2.6159563901164686
82, -0.07564544, -1.97255881, -4.238545631513764
83, -2.46108489, -4.00980709, -15.450763150971095
84,  0.442223  , -1.80958082, -3.0402494286766437
85, 0.73113757, 0.3487173 , -5.0117404395112395
86,  2.86235609, -1.17752427, -1.2455750918717454
87, -0.28349191, -1.28468921, -4.982155825184657
88, -1.80783118, -3.38804599, -11.304783709089287
89, -0.61845671,  0.01758472, -7.619890244683917
90, -1.73021925, -3.68695112, -11.462913137460681
91, -2.36678122, -1.92566781, -12.762047653809299
92,  2.42908712, -3.34558293, -1.96630785459788
93, -3.14458387, -2.27156155, -16.918631039816606
94, 1.87137227, 0.64342028, -4.3510183085117475
95, 2.78843417, 2.74113867, -11.73061974586069
96,  4.19744491, -3.984147  , -4.531432492655773
97,  2.66355166, -6.07536705, -9.649158100557486
98,  4.83898526, -4.27232478, -6.468326984830105
99, 0.9740687 , 1.96412632, -9.548907795838687
0,  2.27776379, -1.70111794, -0.9634100367111831
1,  2.55460554, -2.51062824, -1.106862840497803
2,  1.70382514, -2.97801372, -1.8169425262629082
3,  2.65643189, -0.65425437, -1.7071150876395063
4,  3.37806461, -2.71130651, -1.6335463899119944
5, -0.60063327, -1.48501678, -5.812007393146104
6,  3.27684168, -1.15836938, -1.4956880190578672
7, 1.33660203, 1.45227333, -7.214554175884526
8, -0.85594603, -2.18608956, -6.591049023632994
9,  0.3043476 , -4.86275079, -7.71832938629024
10, 1.93929271, 1.27535687, -6.117580482291887
11,  4.47765753, -1.46272847, -2.970106387414176
12,  2.59939057, -2.67116875, -1.2212283943357023
13,  1.37108284, -1.16877371, -1.8235114484657131
14,  2.42486504, -1.12442887, -1.2225164527754686
15,  1.85533878, -0.63994113, -1.9206067539626461
16,  0.5317681 , -1.01412336, -3.248295659679561
17,  1.24547157, -2.01466099, -1.712432897536742
18,  2.42542854, -3.0813815 , -1.6195501110235209
19,  1.91541107, -3.22704438, -1.970334027770392
20,  1.54983499e-03, -1.73680943e+00, -4.053380728057453
21,  1.2563043 , -3.61318707, -3.1598330005952975
22, 1.5281687 , 0.40150736, -4.039634639955857
23,  0.77427027, -1.75793737, -2.4181009857858307
24,  0.85989143, -1.9677511 , -2.2662116922035374
25,  3.54306881, -3.61775678, -2.938278980309577
26, -0.4113303, -4.123648 , -7.629165794375265
27,  1.97441864, -1.60462003, -1.1006810804009992
28,  3.11159745, -1.74772979, -1.1175573594796107
29,  1.7856402 , -2.29298489, -1.2513120576964538
30,  1.0640469 , -3.37375773, -3.0359001048275984
31,  2.84778791, -0.92330373, -1.4563845468139165
32,  1.79996053, -0.49177648, -2.155512902596717
33,  1.59971641, -2.60748491, -1.5744612486132976
34,  2.68682636, -1.74451763, -0.9484779616348408
35,  1.24134044, -1.17007133, -1.977448410316379
36, -0.066532  , -2.04199039, -4.222562416308179
37,  0.59755141, -2.21546942, -2.7783543233863037
38, 2.84412487, 0.19583571, -3.1744131621500737
39,  1.05125719, -0.94059012, -2.4286000559208074
40, 2.89927386, 0.12860718, -3.056271887157126
41,  3.26385123, -4.65139437, -4.995758384524532
42,  1.26134532, -2.45239734, -1.8386426489762986
43, 2.23995219, 0.7528866 , -4.471654632738973
44, -1.14313126, -2.44277412, -7.702443101068967
45,  1.32825234, -2.39371598, -1.7273125530982587
46,  4.22395434, -0.35257968, -3.60220264220875
47,  2.22944332, -2.58346266, -1.1890995965430224
48,  2.60990699, -0.51874646, -1.87890897357698
